Date, Open, High, Low, Close
9/10/2020,1526.87,1543.43,1507.73,1507.75
9/9/2020,1505.09,1532.91,1505.09,1526.48
9/8/2020,1534.37,1534.37,1499.83,1504.59
9/7/2020,1533.91,1551.74,1520.79,1546.44
9/4/2020,1546.64,1563.38,1501.52,1535.3
9/3/2020,1578.78,1595.04,1538.53,1544.68
9/2/2020,1578.78,1595.04,1567.43,1592.29
9/1/2020,1561.1,1578.58,1554.19,1578.58
8/31/2020,1577.55,1577.55,1561.88,1561.88
8/28/2020,1570.46,1578.34,1567.13,1578.34
8/27/2020,1561.36,1573.38,1555.27,1564.56
8/26/2020,1570.72,1572.57,1559.73,1560.19
8/25/2020,1572.65,1574.24,1556.78,1571.21
8/24/2020,1559.96,1568.73,1554.1,1568.47
8/21/2020,1563.37,1563.37,1545.36,1552.48
8/20/2020,1567.77,1570.38,1554.46,1564.3
8/19/2020,1570.44,1585.16,1569.98,1572.07
8/18/2020,1585.54,1585.54,1566.51,1569.77
8/17/2020,1579.48,1586.52,1575.84,1585.47
8/14/2020,1575.78,1583.48,1567.88,1577.88
8/13/2020,1580.26,1590.09,1575.96,1579.79
8/12/2020,1577.9,1595.12,1574.25,1583.25
8/11/2020,1587.57,1603.6,1570.7,1575.1
8/10/2020,1573.75,1593.83,1573.75,1584.67
8/7/2020,1542.52,1569.27,1539.52,1569.18
8/6/2020,1546.44,1550.47,1537.46,1544.62
8/5/2020,1521.79,1546.4,1521.79,1546.24
8/4/2020,1506.53,1517.22,1501.58,1517.21
8/3/2020,1485.49,1507.93,1483.37,1506.8
7/31/2020,1495.15,1495.15,1457.62,1480.43
7/30/2020,1499.2,1499.2,1475.16,1495.1
7/29/2020,1471.37,1501.86,1471.37,1500.63
7/28/2020,1484.37,1485.34,1469.55,1469.76
7/27/2020,1468.23,1484.66,1464.48,1484.65
7/24/2020,1488.67,1488.67,1466.1,1467.56
7/23/2020,1489.33,1507.24,1477.23,1490.2
7/22/2020,1486.43,1493.57,1478.88,1490.14
7/21/2020,1472.13,1496.73,1472.13,1487.51
7/20/2020,1471.67,1474.37,1461.3,1467.95
7/17/2020,1467.87,1482.4,1464.71,1473.32
7/16/2020,1473.78,1473.78,1460.08,1467.56
7/15/2020,1432.5,1485.05,1432.5,1478.27
7/14/2020,1403.13,1428.4,1393.9,1428.26
7/13/2020,1427.36,1452.32,1403.06,1403.57
7/10/2020,1398.92,1422.71,1395.65,1422.68
7/9/2020,1427.44,1427.83,1384.1,1398.92
7/8/2020,1416.36,1431.83,1402.18,1427.4
7/7/2020,1441.3,1441.3,1414.24,1416
7/6/2020,1435.95,1461.28,1435.95,1442.88
7/2/2020,1433.39,1459.41,1428.55,1431.86
7/1/2020,1443.29,1451.46,1423.65,1427.31
6/30/2020,1418.55,1444.12,1413.18,1441.37
