Date,Open,High,Low,Close,Range,bodyRange,bodyColor
06/24/20,1437.20,1437.20,1374.40,1389.74,62.80,-47.46,RED
06/23/20,1436.46,1454.12,1436.46,1439.34,17.66,2.88,GREEN
06/22/20,1417.67,1433.53,1400.98,1433.53,32.55,15.86,GREEN
06/19/20,1430.65,1443.80,1409.47,1418.63,34.33,-12.02,RED
06/18/20,1424.72,1439.74,1412.27,1427.08,27.47,2.36,GREEN
06/17/20,1453.33,1456.77,1424.60,1426.53,32.17,-26.80,RED
06/16/20,1432.35,1473.74,1427.84,1452.26,45.90,19.91,GREEN
06/15/20,1381.41,1425.84,1343.60,1419.61,82.24,38.20,GREEN
06/12/2020,1366.96,1412.91,1349.39,1387.68,63.52,20.72,GREEN
06/11/2020,1458.34,1458.34,1355.32,1356.22,103.02,-102.12,RED
06/10/2020,1506.94,1506.94,1465.94,1467.39,41.00,-39.55,RED
06/09/2020,1533.03,1533.03,1496.68,1507.05,36.35,-25.98,RED
06/08/2020,1510.59,1537.62,1510.59,1536.89,27.03,26.30,GREEN
06/05/2020,1460.18,1525.56,1460.18,1507.15,65.38,46.97,GREEN
06/04/2020,1450.16,1460.09,1439.11,1452.06,20.98,1.90,GREEN
06/03/2020,1425.37,1463.55,1425.37,1452.09,38.18,26.72,GREEN
06/02/2020,1409.16,1421.12,1403.69,1418.21,17.43,9.05,GREEN
06/01/2020,1396.29,1419.94,1395.51,1405.37,24.43,9.08,GREEN
05/29/20,1399.05,1399.05,1372.71,1394.04,26.34,-5.01,RED
05/28/20,1437.84,1450.37,1396.95,1400.67,53.42,-37.17,RED
05/27/20,1398.50,1438.96,1382.03,1436.36,56.93,37.86,GREEN
05/26/20,1361.16,1406.77,1361.16,1393.07,45.61,31.91,GREEN
05/22/20,1349.40,1355.77,1338.13,1355.53,17.64,6.13,GREEN
05/21/20,1345.72,1354.65,1333.99,1347.56,20.66,1.84,GREEN
05/20/20,1322.78,1353.38,1322.78,1346.93,30.60,24.15,GREEN
05/19/20,1330.27,1339.12,1307.27,1307.72,31.85,-22.55,RED
05/18/20,1290.90,1338.35,1290.90,1333.69,47.45,42.79,GREEN
05/15/20,1236.25,1259.28,1225.55,1256.99,33.73,20.74,GREEN
